Key,Sync,FromNetwork,ToNetwork,Size,Get Duration(ms),Put Duration(ms),Get
../../../Engine/DerivedDataCache/8/2/2/STATICMESH_0651E844A9544BD83BF12B1807773C2_8C68575CEF434CA8A9E1DA4AED8A47BB_21__905D026FB0E7FD9AD769373BC6A0513DC7B6694E.udd,true,false,false,42846,37.836500,0.017598,2
../../../Engine/DerivedDataCache/1/6/7/NAVCOLLISION_B89838347A4348138EE337A847529C5C_NAVCOLLISION_X_572BACBB4C0F7A7E5__7F463E97C9C8F321F7E5A24E77EEC5D8641307EC.udd,true,false,false,5521,11.960298,0.013400,2
../../../Engine/DerivedDataCache/5/5/7/PHYSX_1D9C17C451EA4FB88CB7A27536A65DB0_PHYSXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__D179910E59A0BF45AF8F65E55ECDDE5FB236A729.udd,true,false,false,14885,6.494701,0.018202,2
../../../Engine/DerivedDataCache/1/6/6/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_150B91D642C53A596C601EA014853__EDB67CC9363A163D5732EF2C87F85F22A26C6BB4.udd,true,false,false,6358,14.910102,0.016600,2
../../../Engine/DerivedDataCache/5/4/0/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_EADAB3F04B17D7146C021C968EB3C5A__72DF69101CFBD8C38FDFE360AF51289F2F70254C.udd,true,false,false,22714,6.332602,0.018001,2
../../../Engine/DerivedDataCache/2/5/3/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_BDE23ACE41580BE1248F76B7406FA27__8F17711B851C5077CEB6C55F681FBE0610D37B0A.udd,true,false,false,11793,14.481798,0.024099,2
../../../Engine/DerivedDataCache/9/4/0/TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FC52540D4091C8BCDFACA2B862DB7EB__A050AC7FCABD8260D7BAE868FBB77E1699305C68.udd,true,false,false,22714,5.928200,0.022098,2
../../../Engine/DerivedDataCache/0/1/3/TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C13BD2BB45C48968C13E6F8322E0CF1A_0__A856BDB1C74F641C3E5A497386077ABA922667E4.udd,true,false,false,131134,10.652497,0.022300,2
../../../Engine/DerivedDataCache/8/9/8/MATSM_984AFA3849534FAA8491540B994BD32E_PCD3D_SM5_3__BC5N_DEV_SL_NODBUFAC9EF829__B78F8951F35371A8FDA065D8B7ADC5EC355E444D.udd,true,false,false,149616,0.328399,0.022400,2
../../../Engine/DerivedDataCache/3/5/3/TEXTURE_814DCC3DC72143F49509781513CB9855_AUTODXT_CEC3117245B512379223F79AB5FF5__5F8782C13FC86E084E76B9BD42EAF0D802CCCA90.udd,true,false,false,6358,8.940898,0.015002,2
